Category_norm,Model,accuracy,n,percent_correct
Commonsense,claude-sonnet-4-6,0.17647058823529413,34,17.647058823529413
Commonsense,gemini-3.1-flash-lite-preview,0.08823529411764706,34,8.823529411764707
Commonsense,gpt-5.4,0.08823529411764706,34,8.823529411764707
Commonsense,qwen-vl-plus,0.08823529411764706,34,8.823529411764707
Logic,claude-sonnet-4-6,0.29245283018867924,106,29.245283018867923
Logic,gemini-3.1-flash-lite-preview,0.20754716981132076,106,20.754716981132077
Logic,gpt-5.4,0.3490566037735849,106,34.90566037735849
Logic,qwen-vl-plus,0.19811320754716982,106,19.81132075471698
Nonsense,claude-sonnet-4-6,0.9230769230769231,78,92.3076923076923
Nonsense,gemini-3.1-flash-lite-preview,0.15584415584415584,77,15.584415584415584
Nonsense,gpt-5.4,0.38461538461538464,78,38.46153846153847
Nonsense,qwen-vl-plus,0.02564102564102564,78,2.564102564102564
Spatial Counting,claude-sonnet-4-6,0.19444444444444445,36,19.444444444444446
Spatial Counting,gemini-3.1-flash-lite-preview,0.3611111111111111,36,36.11111111111111
Spatial Counting,gpt-5.4,0.2777777777777778,36,27.77777777777778
Spatial Counting,qwen-vl-plus,0.19444444444444445,36,19.444444444444446
Spatial Relations,claude-sonnet-4-6,0.2558139534883721,43,25.581395348837212
Spatial Relations,gemini-3.1-flash-lite-preview,0.4186046511627907,43,41.86046511627907
Spatial Relations,gpt-5.4,0.20930232558139536,43,20.930232558139537
Spatial Relations,qwen-vl-plus,0.5116279069767442,43,51.162790697674424
Spatial Visualization,claude-sonnet-4-6,0.0,4,0.0
Spatial Visualization,gemini-3.1-flash-lite-preview,0.25,4,25.0
Spatial Visualization,gpt-5.4,0.25,4,25.0
Spatial Visualization,qwen-vl-plus,0.0,4,0.0
Visual Text Understanding,claude-sonnet-4-6,0.18518518518518517,27,18.51851851851852
Visual Text Understanding,gemini-3.1-flash-lite-preview,0.14814814814814814,27,14.814814814814813
Visual Text Understanding,gpt-5.4,0.14814814814814814,27,14.814814814814813
Visual Text Understanding,qwen-vl-plus,0.037037037037037035,27,3.7037037037037033
