Model,Category_norm,Right,Wrong,n,right_pct,wrong_pct
claude-sonnet-4-6,Commonsense,6.0,28.0,34.0,17.647058823529413,82.35294117647058
claude-sonnet-4-6,Logic,31.0,75.0,106.0,29.245283018867923,70.75471698113208
claude-sonnet-4-6,Nonsense,72.0,6.0,78.0,92.3076923076923,7.6923076923076925
claude-sonnet-4-6,Spatial Counting,7.0,29.0,36.0,19.444444444444446,80.55555555555556
claude-sonnet-4-6,Spatial Relations,11.0,32.0,43.0,25.581395348837212,74.4186046511628
claude-sonnet-4-6,Spatial Visualization,0.0,4.0,4.0,0.0,100.0
claude-sonnet-4-6,Visual Text Understanding,5.0,22.0,27.0,18.51851851851852,81.48148148148148
gemini-3.1-flash-lite-preview,Commonsense,3.0,31.0,34.0,8.823529411764707,91.17647058823529
gemini-3.1-flash-lite-preview,Logic,22.0,84.0,106.0,20.754716981132077,79.24528301886792
gemini-3.1-flash-lite-preview,Nonsense,12.0,65.0,77.0,15.584415584415584,84.4155844155844
gemini-3.1-flash-lite-preview,Spatial Counting,13.0,23.0,36.0,36.11111111111111,63.888888888888886
gemini-3.1-flash-lite-preview,Spatial Relations,18.0,25.0,43.0,41.86046511627907,58.139534883720934
gemini-3.1-flash-lite-preview,Spatial Visualization,1.0,3.0,4.0,25.0,75.0
gemini-3.1-flash-lite-preview,Visual Text Understanding,4.0,23.0,27.0,14.814814814814813,85.18518518518519
gpt-5.4,Commonsense,3.0,31.0,34.0,8.823529411764707,91.17647058823529
gpt-5.4,Logic,37.0,69.0,106.0,34.90566037735849,65.09433962264151
gpt-5.4,Nonsense,30.0,48.0,78.0,38.46153846153847,61.53846153846154
gpt-5.4,Spatial Counting,10.0,26.0,36.0,27.77777777777778,72.22222222222221
gpt-5.4,Spatial Relations,9.0,34.0,43.0,20.930232558139537,79.06976744186046
gpt-5.4,Spatial Visualization,1.0,3.0,4.0,25.0,75.0
gpt-5.4,Visual Text Understanding,4.0,23.0,27.0,14.814814814814813,85.18518518518519
qwen-vl-plus,Commonsense,3.0,31.0,34.0,8.823529411764707,91.17647058823529
qwen-vl-plus,Logic,21.0,85.0,106.0,19.81132075471698,80.18867924528303
qwen-vl-plus,Nonsense,2.0,76.0,78.0,2.564102564102564,97.43589743589743
qwen-vl-plus,Spatial Counting,7.0,29.0,36.0,19.444444444444446,80.55555555555556
qwen-vl-plus,Spatial Relations,22.0,21.0,43.0,51.162790697674424,48.837209302325576
qwen-vl-plus,Spatial Visualization,0.0,4.0,4.0,0.0,100.0
qwen-vl-plus,Visual Text Understanding,1.0,26.0,27.0,3.7037037037037033,96.29629629629629
